"ID","LakeName","lat","long","UTME","UTMN","Datum/Zone","quad","area","ShedArea","Elev","VegClass","RockType","Cover","A","B","C","D","pHField","pHLab","Cond","uS25","HCO3","Cl","NO3","SO4","MicrEquiL","Ca","Mg","Na","K","SampleDate","Investigator","SedWetWt","gcm3","SedDryWt","IngnLoss","SLIPdata"
1,"Kuna 11","37d49'50""","119d14'15""",303085.00,4189169.00,"NAD27/11","Mono craters",4.92,23.30,3536.00,1.00,,,1.00,1.00,1.00,1.00,7.02,6.25,3.60,,19.10,1.79,4.19,4.17,,16.20,3.28,6.16,3.16,8/14/1985 0:00:00,"J.S. and R.W.H.",1.55,,0.66,3.14,
2,"Parker Pass","37d50'8""","119d12'35""",305543.00,4189665.00,"NAD27/11","Mono craters",2.85,101.00,3316.00,2.00,,,1.00,4.00,1.00,1.00,5.64,5.84,16.00,,5.90,4.15,8.32,106.20,,86.60,17.60,12.70,5.72,8/10/1985 0:00:00,"J.S. and R.W.H.",0.99,,0.14,14.20,
3,"Table Meadow","36d36'33""","118d39'5""",352308.00,4052585.00,"NAD27/11","Triple Divide",1.55,25.10,3139.00,2.00,,,1.00,1.00,4.00,1.00,6.60,6.01,5.60,,40.80,4.01,0.78,3.91,,29.80,3.45,13.00,3.22,7/20/1985 0:00:00,"J.S. and R.W.H.",0.93,,0.12,19.40,
4,"Fairy Shrimp","37d26'40""","118d45'40""",344210.00,4145430.00,"NAD27/11","MT ABBOT",1.30,15.50,3517.00,2.00,,,1.00,1.00,1.00,4.00,6.92,6.30,3.00,,14.60,1.80,3.75,4.15,,16.00,1.96,4.25,2.29,8/11/1985 0:00:00,"J.S. and R.W.H.",1.86,,1.36,2.31,
5,"Kuna 11","37d49'50""","119d14'15""",303085.00,4189169.00,"NAD27/11","Mono craters",4.92,23.30,3536.00,1.00,,,1.00,1.00,4.00,1.00,7.02,6.25,3.60,,19.10,1.79,4.19,4.17,,16.20,3.28,6.19,3.16,8/14/1985 0:00:00,"J.S. and R.W.H.",1.55,,0.66,3.14,
6,"Mosquito 3","36d25'9""","118d37'16""",354661.00,4031461.00,"NAD27/11","Triple Divide",0.78,132.00,2999.00,4.00,,,1.00,1.00,4.00,1.00,6.52,6.41,5.80,,51.20,2.19,1.01,9.91,,45.20,5.26,10.50,3.39,7/21/1985 0:00:00,"J.S. and R.W.H.",0.91,,0.07,52.50,
7,"Mosquito 5","36d24'53""","118d37'35""",354179.00,4030976.00,"NAD27/11","Triple Divide",3.11,76.70,3048.00,3.00,,,1.00,1.00,4.00,1.00,6.87,6.42,6.70,,52.80,1.51,2.18,13.25,,51.00,4.49,11.00,3.16,7/21/1985 0:00:00,"J.S. and R.W.H.",1.04,,0.11,15.90,
8,"L. Catherdral","37d50'21""","119d24'50""",287584.00,4190511.00,"NAD27/11","Tuol. Meadows",4.66,148.00,2902.00,,,,1.00,1.00,1.00,4.00,6.45,6.44,3.20,,24.60,1.47,0.00,2.60,,16.40,3.23,8.67,1.94,8/16/1985 0:00:00,"J.S. and R.W.H.",1.16,,0.06,41.90,
9,"Up. Treasure","37d23'13""","118d46'0""",343599.00,4139059.00,"NAD27/11","MT ABBOT",2.85,184.00,3389.00,3.00,,,1.00,1.00,4.00,1.00,6.89,6.45,5.70,,27.20,1.05,0.00,4.72,,25.70,2.07,5.97,6.52,8/7/1985 0:00:00,"J.S. and R.W.H.",1.51,,0.75,3.12,"yes"
10,"Dade","37d22'47""","118d45'42""",344026.00,4138249.00,"NAD27/11","MT ABBOT",3.11,130.00,3511.00,1.00,,,1.00,1.00,4.00,1.00,6.80,6.48,4.90,,24.00,1.18,,5.84,,31.70,2.45,5.28,2.18,8/7/1985 0:00:00,"J.S. and R.W.H.",1.87,,1.26,1.08,"yes"
11,"Le Conte","38d52'20""","120d8'10""",748463.00,4306288.00,"NAD27/11","Fallen Leaf Lk.",,,2500.00,,,,,,,,6.25,6.55,3.10,,31.20,2.82,0.00,3.97,,11.20,2.84,5.13,2.18,8/22/1985 0:00:00,"J.S. and R.W.H.",0.90,,0.07,27.70,
12,"Summit","37d26'0""","118d46'11""",343425.00,4144211.00,"NAD27/11","MT ABBOT",1.81,82.90,3609.00,1.00,,,1.00,1.00,1.00,4.00,7.10,6.60,2.80,,21.40,1.14,0.00,3.88,,13.80,2.18,5.43,4.21,8/11/1985 0:00:00,"J.S. and R.W.H.",1.46,,0.80,1.84,"yes"
13,"Mosquito 1","36d25'28""","118d37'8""",353031.00,3921119.00,"NAD27/11","Triple Divide",2.07,127.00,2926.00,4.00,,,2.00,1.00,4.00,1.00,7.13,6.79,7.40,,77.40,1.89,0.40,7.33,,58.20,8.63,16.80,5.15,7/21/1985 0:00:00,"J.S. and R.W.H.",0.67,,0.03,41.60,
14,"Gem","37d26'30""","118d34'11""",361136.00,4144822.00,"NAD27/11","MT ABBOT",2.77,1230.00,3595.00,3.00,,,,,,,7.33,6.82,7.40,,77.40,1.89,0.40,7.33,,58.20,8.63,16.80,4.14,7/21/1985 0:00:00,"J.S. and R.W.H.",1.66,,1.07,3.00,"yes"
15,"Granite","36d51'47""","118d37'12""",355592.00,4080703.00,"NAD27/11","Tuol. Meadows",20.70,262.00,3097.00,3.00,,,1.00,1.00,1.00,4.00,6.91,6.91,6.90,,66.90,1.29,0.00,4.65,,49.60,6.68,15.60,4.09,7/5/1985 0:00:00,"J.S. and R.W.H.",1.31,,0.03,22.90,
16,"Heather/Tah.","38d52'40""","120d8'10""",748444.00,4306905.00,"NAD27/11","Fallen Leaf Lk.",,,,,,,,,,,6.95,6.93,8.10,,67.10,2.08,0.00,12.10,,50.20,5.82,12.10,5.90,8/22/1985 0:00:00,"J.S. and R.W.H.",0.99,,0.05,31.80,
17,"Ruby ","37d24'50""","118d46'15""",343286.00,4142056.00,"NAD27/11","MT ABBOT",14.50,202.00,3365.00,3.00,,,1.00,1.00,1.00,4.00,7.05,6.95,5.50,,47.30,1.65,2.88,7.04,,43.20,3.72,9.01,3.45,8/11/1985 0:00:00,"J.S. and R.W.H.",1.29,,0.08,14.30,"yes"
