,Achnanthes,Amphora,Anomoeoneis,Asterionella,Caloneis,Cocconeis,Cyclotella,Cymbella,Diatoma,Diploneis,Epithemia,Eunotia,Fragilaria,Frustulia,Frustulina,Gomphonema,Gyrosigma,Hannea,Hantzschia,Krasskella,Melosira,Meridion,Navicula,Neidium,Nitzschia,Opephora,Pinnularia,Rhopalodia,Stauroneis,Stenopterobia,Stephanodiscus,Strauoseis,Surirella,Synedra,Tabellaria,Unotia
Barney,7,2,0,0,0,0,0,4,0,0,0,0,463,0,0,0,0,0,0,0,0,0,17,0,12,0,0,0,0,0,9,0,0,1,0,0
Bright Dot,15,5,0,6,0,1,59,0,0,1,0,0,327,0,0,2,0,0,0,0,0,0,58,0,29,0,2,0,0,0,2,0,0,7,0,0
Constance,45,4,0,45,1,3,71,12,0,1,0,0,159,0,0,1,0,0,0,0,0,0,43,0,11,2,0,0,0,0,0,0,0,123,0,0
Convict,10,4,0,84,3,1,38,7,1,0,1,0,252,0,0,5,1,0,0,0,4,0,5,0,7,0,1,0,0,0,80,0,0,4,6,0
Dade,394,2,0,0,0,0,0,42,0,0,0,0,10,1,0,23,0,0,0,0,0,1,25,4,8,0,1,0,0,0,0,0,2,0,1,0
Dorothy,115,1,4,0,0,0,311,10,0,0,0,0,53,1,0,0,0,0,0,0,5,0,7,2,5,0,0,0,0,0,0,0,2,1,0,0
Eastern Brook,52,0,15,0,1,1,61,43,0,0,0,2,155,4,0,0,0,0,0,3,63,0,15,0,86,0,12,0,1,4,0,0,0,4,0,0
Eastern Twin,13,0,0,23,0,0,0,7,0,0,0,0,271,0,0,4,0,0,0,0,134,0,3,0,4,6,1,0,0,0,39,0,0,0,15,0
Fairy Shrimp,424,0,1,0,1,0,0,0,0,0,0,17,0,8,0,0,0,0,0,0,18,0,22,5,4,0,15,0,4,0,0,0,0,0,0,0
Gem,126,27,0,0,0,0,0,19,0,11,0,0,84,0,0,49,0,1,0,0,0,0,179,0,13,0,2,0,0,0,0,0,1,0,0,0
Granite,104,0,0,1,0,0,86,40,0,0,0,0,133,0,0,9,0,0,0,0,25,0,79,4,11,0,14,0,1,0,0,0,1,3,0,0
Heather/Tah_,143,0,60,0,0,0,77,35,0,0,0,49,12,17,0,13,0,1,0,4,10,0,23,3,18,0,20,0,0,5,0,0,3,12,6,0
Kuna 11,426,0,1,0,0,0,0,7,0,0,0,3,1,1,0,14,0,0,0,0,14,0,22,5,10,0,2,0,2,0,0,0,3,0,0,1
L_ Catherdral,18,0,60,0,0,0,0,96,0,0,0,22,0,23,0,12,0,0,0,0,90,2,113,5,10,0,42,0,0,2,0,0,9,0,3,0
Le Conte,45,0,11,0,0,0,0,56,0,0,0,6,0,23,17,2,0,0,0,0,102,0,185,3,9,0,27,0,3,1,0,0,6,0,0,0
Lundy,65,1,1,87,2,2,4,23,0,3,1,0,222,0,0,1,1,0,0,0,5,0,31,0,27,0,2,0,0,0,0,0,0,28,0,0
Mosquito 1,25,0,50,0,0,0,1,128,4,0,0,17,41,23,0,12,0,0,0,5,74,0,41,2,32,0,39,0,1,4,0,2,3,0,16,0
Mosquito 3,32,0,39,0,0,0,0,108,0,0,0,25,78,37,0,8,0,0,0,0,47,0,44,6,51,0,28,0,0,0,0,0,0,0,11,0
Mosquito 5,223,0,1,0,0,0,8,50,1,2,0,2,18,7,0,14,0,0,0,0,42,0,74,5,11,0,28,0,7,1,0,0,5,0,0,0
Parker Pass,353,3,2,0,9,0,0,29,0,0,0,1,0,4,0,0,0,0,0,0,61,0,11,8,9,0,9,0,6,1,0,0,11,0,0,0
Ruby,150,0,0,35,0,0,186,14,0,0,0,0,14,3,0,12,0,0,0,0,34,1,44,0,3,0,6,0,0,1,0,0,0,8,0,0
Summit,265,0,0,0,0,0,0,12,0,0,0,4,10,2,0,2,0,0,0,0,146,4,51,0,2,0,5,0,4,0,0,0,0,0,0,0
Table Meadow,137,0,3,0,3,0,0,12,1,0,0,18,25,6,0,6,0,0,1,0,139,6,61,7,24,0,32,0,10,0,0,0,17,0,0,0
Up_ Treasure,300,5,0,0,0,0,0,67,0,0,0,2,1,11,0,18,0,0,2,0,14,2,48,3,14,0,6,0,7,0,0,0,7,0,1,0
Upper Angora,29,0,58,0,0,1,42,51,0,0,0,34,19,18,0,38,0,0,0,4,42,0,33,21,30,0,55,0,7,6,0,4,4,7,4,0
Upper Frog,3,3,0,0,0,0,0,12,0,1,0,0,505,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Upper Gaylor,28,0,0,0,0,0,38,14,0,0,0,1,194,0,0,3,0,0,0,0,5,0,207,0,7,0,6,0,3,0,0,0,0,5,0,0
Western Twin,24,0,0,28,0,0,1,12,2,1,8,0,142,0,0,4,0,1,0,0,190,1,12,0,5,0,1,1,0,0,53,0,0,4,22,0
Wit-So-Nah-PAN,66,1,0,1,2,0,78,154,1,0,0,1,94,0,0,7,0,5,0,0,0,0,11,0,84,0,1,0,1,0,0,0,0,8,0,0
