ID,LakeName,lat,long,UTME,UTMN,Datum/Zone,quad,area,ShedArea,Elev,VegClass,RockType,Cover,A,B,C,D,pHField,pHLab,Cond,uS25,HCO3,Cl,NO3,SO4,MicrEquiL,Ca,Mg,Na,K,SampleDate,Investigator,SedWetWt,gcm3,SedDryWt,IngnLoss,SLIPdata
30,Barney,"37d33'47""",118d58,326250,4158951,NAD27/11,Mt. Morrison,3.11,98.4,3097,3,,,1,4,1,1,8.77,9.53,56,,392,6.68,0,157,,497,8.68,80.8,4.97,8/9/1985 0:00,J.S. and R.W.H.,1.43,,0.09,13.3,
29,Bright_Dot,"37d32'40""","118d51'40""",335582,4156695,NAD27/11,Mt. Morrison,11.4,140,3194,3,,,3,3,1,1,9.07,9.03,67,,627,2.44,0,67.2,,699,21.8,10.8,5.95,8/18/1985 0:00,J.S. and R.W.H.,1.11,,0.05,28.1,
23,Constance,"37d30'55""","118d52'2""",334978,4153470,NAD27/11,Mt. Morrison,14,207,3292,1,,,1,4,1,1,7.95,7.42,,,271.5,1.94,2.1,97.8,,345,12.4,8.27,7.58,8/20/1985 0:00,J.S. and R.W.H.,1.12,,0.17,8.24,
28,Convict,"37d35'30""","118d51'25""",336054,4161928,NAD27/11,Mt. Morrison,74.6,4999,2310,5,,,3,3,3,1,8.4,8.35,119,,1051,1.86,0,231.8,,1234,35.1,51.3,15.6,7/3/1985 0:00,J.S. and R.W.H.,0.91,,0.22,6.56,
10,Dade,"37d22'47""","118d45'42""",344026,4138249,NAD27/11,MT ABBOT,3.11,130,3511,1,,,1,1,4,1,6.8,6.48,4.9,,24,1.18,,5.84,,31.7,2.45,5.28,2.18,8/7/1985 0:00,J.S. and R.W.H.,1.87,,1.26,1.08,yes
19,Dorothy,"37d32'10""","118d52'55""",333723,4155807,NAD27/11,Mt Morrison,61.6,396,3121,3,,,1,3,3,1,7.46,7.2,22.9,,138.5,2.66,0.72,83.2,,189.6,21.3,18,7.64,8/20/1985 0:00,J.S. and R.W.H.,1.36,,0.28,6.24,
20,Eastern_Brook,,,,,,,,,,,,,,,,,7.35,7.22,12,,132.2,4.7,,6.21,,98.9,14.7,28.5,9.97,7/3/1985 0:00,J.S. and R.W.H.,1.24,,0.07,23.1,
26,Eastern_Twin,"38d9'40""","119d20'0""",295570,4226058,NAD27/11,MatterHrn. Pk.,161,6786,2158,5,,,2,2,1,4,8.14,7.66,49.5,,383.6,5.72,0,78.1,,356,60,71.3,13.9,8/3/1985 0:00,J.S. and R.W.H.,0.96,,0.11,12.4,
4,Fairy_Shrimp,"37d26'40""","118d45'40""",344210,4145430,NAD27/11,MT ABBOT,1.3,15.5,3517,2,,,1,1,1,4,6.92,6.3,3,,14.6,1.8,3.75,4.15,,16,1.96,4.25,2.29,8/11/1985 0:00,J.S. and R.W.H.,1.86,,1.36,2.31,
14,Gem,"37d26'30""","118d34'11""",361136,4144822,NAD27/11,MT ABBOT,2.77,1230,3595,3,,,,,,,7.33,6.82,7.4,,77.4,1.89,0.4,7.33,,58.2,8.63,16.8,4.14,7/21/1985 0:00,J.S. and R.W.H.,1.66,,1.07,3,yes
15,Granite,"36d51'47""","118d37'12""",355592,4080703,NAD27/11,Tuol. Meadows,20.7,262,3097,3,,,1,1,1,4,6.91,6.91,6.9,,66.9,1.29,0,4.65,,49.6,6.68,15.6,4.09,7/5/1985 0:00,J.S. and R.W.H.,1.31,,0.03,22.9,
16,Heather_Tahoe,"38d52'40""","120d8'10""",748444,4306905,NAD27/11,Fallen Leaf Lk.,,,,,,,,,,,6.95,6.93,8.1,,67.1,2.08,0,12.1,,50.2,5.82,12.1,5.9,8/22/1985 0:00,J.S. and R.W.H.,0.99,,0.05,31.8,
5,Kuna_11,"37d49'50""","119d14'15""",303085,4189169,NAD27/11,Mono craters,4.92,23.3,3536,1,,,1,1,4,1,7.02,6.25,3.6,,19.1,1.79,4.19,4.17,,16.2,3.28,6.19,3.16,8/14/1985 0:00,J.S. and R.W.H.,1.55,,0.66,3.14,
8,L_Cathedral,"37d50'21""","119d24'50""",287584,4190511,NAD27/11,Tuol. Meadows,4.66,148,2902,,,,1,1,1,4,6.45,6.44,3.2,,24.6,1.47,0,2.6,,16.4,3.23,8.67,1.94,8/16/1985 0:00,J.S. and R.W.H.,1.16,,0.06,41.9,
